state,age ,race ,covid,tot_death,pneumonia,pneum_covid,influenza ,pneu_flu_covid
New York,65-74 years,Asian,90,190,52,44,,100
New York,75-84 years,Asian,89,234,69,46,0,112
New York,85 years and over,Asian,59,219,50,29,,82
New York,25-34 years,Hispanic,18,80,14,11,0,21
New York,35-44 years,Hispanic,64,143,29,26,0,67
New York,45-54 years,Hispanic,149,296,83,69,,166
New York,55-64 years,Hispanic,264,461,167,143,0,288
New York,65-74 years,Hispanic,287,528,191,151,0,327
New York,75-84 years,Hispanic,235,539,177,134,,280
New York,85 years and over,Hispanic,201,608,154,110,,249
New York City,25-34 years,White,18,133,10,,0,22
New York City,35-44 years,White,45,220,21,14,,55
New York City,45-54 years,White,134,458,78,55,,159
New York City,55-64 years,White,471,1208,237,173,35,539
New York City,65-74 years,White,939,2391,497,367,44,1074
New York City,75-84 years,White,1234,3266,688,487,37,1444
New York City,85 years and over,White,1683,5710,1020,692,62,2026
New York City,25-34 years,Black,40,159,23,16,,47
New York City,35-44 years,Black,108,293,48,34,,123
New York City,45-54 years,Black,306,741,152,120,37,339
New York City,55-64 years,Black,854,1893,432,330,79,967
New York City,65-74 years,Black,1242,2552,651,517,77,1385
New York City,75-84 years,Black,1228,2733,695,517,58,1414
New York City,85 years and over,Black,824,2435,466,328,40,972
New York City,25-34 years,Asian,11,38,,,,11
New York City,35-44 years,Asian,27,61,13,11,,29
New York City,45-54 years,Asian,114,208,47,41,12,121
New York City,55-64 years,Asian,283,517,124,103,27,307
New York City,65-74 years,Asian,388,768,186,138,32,437
New York City,75-84 years,Asian,394,922,239,166,25,469
New York City,85 years and over,Asian,342,1165,212,126,14,431
New York City,25-34 years,Hispanic,60,166,27,22,,65
New York City,35-44 years,Hispanic,216,410,72,58,18,232
New York City,45-54 years,Hispanic,465,815,184,142,41,511
New York City,55-64 years,Hispanic,792,1424,356,292,64,863
New York City,65-74 years,Hispanic,1164,2029,542,428,61,1284
New York City,75-84 years,Hispanic,1178,2302,585,441,64,1331
New York City,85 years and over,Hispanic,858,2271,449,288,42,1028
New York City,25-34 years,Unknown,,23,,0,,
New York City,35-44 years,Unknown,17,50,10,,0,20
New York City,45-54 years,Unknown,71,138,37,29,,79
New York City,55-64 years,Unknown,177,371,112,81,,209
New York City,65-74 years,Unknown,270,555,133,93,,310
New York City,75-84 years,Unknown,277,533,137,109,,305
New York City,85 years and over,Unknown,198,444,82,62,,220
Pennsylvania,25-34 years,White,,457,15,,,19
Pennsylvania,35-44 years,White,,650,18,,,28
Pennsylvania,45-54 years,White,41,1271,67,16,,97
Pennsylvania,55-64 years,White,171,3267,240,74,19,356
Pennsylvania,65-74 years,White,396,5699,500,164,20,752
Pennsylvania,75-84 years,White,697,8019,762,291,53,1221
Pennsylvania,85 years and over,White,1326,12591,1153,433,45,2090
Pennsylvania,25-34 years,Black,,174,,0,0,
Pennsylvania,35-44 years,Black,10,169,11,,,15
Pennsylvania,45-54 years,Black,37,316,31,20,,51
Pennsylvania,55-64 years,Black,117,793,75,46,10,154
Pennsylvania,65-74 years,Black,196,980,112,74,,237
Pennsylvania,75-84 years,Black,193,868,119,80,,237
Pennsylvania,85 years and over,Black,210,960,120,80,,252
Pennsylvania,25-34 years,Asian,,,,,0,
Pennsylvania,35-44 years,Asian,,12,0,0,0,
Pennsylvania,45-54 years,Asian,,22,0,0,0,
Pennsylvania,55-64 years,Asian,14,61,1,,0,15
Pennsylvania,65-74 years,Asian,18,86,14,10,,24
Pennsylvania,75-84 years,Asian,28,128,20,,,43
Pennsylvania,85 years and over,Asian,40,162,21,16,,46
Pennsylvania,25-34 years,Hispanic,,66,,,0,
Pennsylvania,35-44 years,Hispanic,,77,,,0,
Pennsylvania,45-54 years,Hispanic,23,117,10,,0,28
Pennsylvania,55-64 years,Hispanic,33,181,21,16,,39
Pennsylvania,65-74 years,Hispanic,52,211,31,20,0,63
Pennsylvania,75-84 years,Hispanic,52,205,25,17,,61
Pennsylvania,85 years and over,Hispanic,37,182,29,19,0,47
