state,date,mean_bed,mean_icu_bed,mean_daily_death,admis_mean,newICU_mean
United States of America,7/2/2020,14563.76 ,4423.36 ,442.54 ,1684.52 ,509.57 
United States of America,7/3/2020,14074.72 ,4293.36 ,444.84 ,1603.48 ,487.08 
United States of America,7/4/2020,13645.02 ,4150.41 ,416.69 ,1553.04 ,471.64 
United States of America,7/5/2020,13195.22 ,4028.54 ,404.17 ,1511.08 ,460.81 
United States of America,7/6/2020,12829.59 ,3911.79 ,392.54 ,1485.51 ,449.24 
United States of America,7/7/2020,12448.02 ,3794.28 ,387.08 ,1416.48 ,430.13 
United States of America,7/8/2020,12075.56 ,3670.91 ,368.16 ,1382.57 ,418.99 
United States of America,7/9/2020,11681.25 ,3558.00 ,355.82 ,1322.86 ,403.52 
United States of America,7/10/2020,11299.20 ,3445.03 ,346.39 ,1261.66 ,384.88 
United States of America,7/11/2020,10907.01 ,3328.82 ,339.99 ,1200.72 ,369.13 
United States of America,7/12/2020,10530.66 ,3208.85 ,324.33 ,1180.82 ,359.97 
United States of America,7/13/2020,10194.86 ,3110.13 ,316.21 ,1180.57 ,355.40 
United States of America,7/14/2020,9943.23 ,3019.28 ,301.77 ,1202.10 ,356.87 
United States of America,7/15/2020,9633.38 ,2927.42 ,288.23 ,1102.62 ,332.40 
United States of America,7/16/2020,9318.56 ,2839.39 ,274.51 ,1043.59 ,319.12 
United States of America,7/17/2020,9006.70 ,2754.53 ,269.11 ,979.36 ,305.47 
United States of America,7/18/2020,8740.41 ,2669.50 ,268.89 ,978.25 ,298.49 
United States of America,7/19/2020,8450.92 ,2574.32 ,274.56 ,932.48 ,282.97 
United States of America,7/20/2020,8150.23 ,2471.17 ,251.29 ,923.12 ,277.21 
United States of America,7/21/2020,7793.92 ,2378.62 ,237.76 ,855.64 ,261.53 
United States of America,7/22/2020,7509.08 ,2294.77 ,222.77 ,842.75 ,255.67 
United States of America,7/23/2020,7298.78 ,2233.49 ,222.57 ,856.14 ,258.13 
United States of America,7/24/2020,7129.26 ,2167.62 ,211.56 ,847.75 ,251.33 
United States of America,7/25/2020,6895.79 ,2098.47 ,209.52 ,769.39 ,233.27 
United States of America,7/26/2020,6684.23 ,2033.13 ,194.36 ,756.11 ,230.70 
United States of America,7/27/2020,6446.25 ,1974.68 ,191.15 ,702.76 ,218.21 
United States of America,7/28/2020,6225.06 ,1906.40 ,194.26 ,666.69 ,203.98 
United States of America,7/29/2020,6025.92 ,1837.57 ,192.17 ,679.37 ,206.79 
United States of America,7/30/2020,5756.30 ,1750.10 ,175.06 ,612.02 ,187.41 
United States of America,7/31/2020,4902.38 ,1545.22 ,171.78 ,0.00 ,46.09 
United States of America,8/1/2020,4108.41 ,1348.67 ,159.19 ,0.00 ,46.63 
United States of America,8/2/2020,3335.73 ,1164.18 ,150.73 ,0.00 ,42.39 
United States of America,8/3/2020,2607.52 ,946.29 ,154.59 ,0.00 ,0.00 
United States of America,8/4/2020,1907.14 ,727.18 ,138.60 ,0.00 ,0.00 
